"EOIR ID","EOIR Data","TRAC Id"
RS,Renetta Smith,00171
RSH,Robert S. Hough,00052
RW,Richard D. Walton,00108
RY,Robert Yeargin,00208
SD,Samuel Der-Yeghiayan,00229
SEC,Susan E. Castro,00182
SEM,Stephen E. Mander,00120
SGA,Scott G. Alexander,00111
SH,Sandy Hom,00146
SHK,Sean H. Keenan,00048
SLS,Stephen L. Sholomson,00101
SMB,Sarah M. Burr,00138
SMJ,Scott M. Jefferies,00056
SRA,Steven R. Abrams,00134
SRK,Seymour R. Kleinfeld,00247
SSC,Sandra S. Coleman,00245
SSG,Stephen S. Griswold,00194
SY,Susan Yarbrough,00237
TAB,Terry A. Bain,00135
TAW,Ted A. White,00292
TC,Teofilo Chapa,00113
TCC,Terry C. Christian,00282
TCR,Thomas C. Roepke,00054
TF,Thomas Fong,00091
TGS,Thomas G. Snow,00221
THS,Theresa Holmes-Simmons,00145
TJM,Thomas J. Mulligan,00151
TMO,Thomas Michael O'leary,00049
TMR,Thomas M. Ragno,00228
TPQ,Tue Phan-Quang,00205
VG,Victoria Ghartey,00169
VGU,Vivienne Gordon-Uruakpa,00144
VIC,Victoria E. Young,00213
VMJ,Scott C. Alexander,00314
WAC,William A. Cassidy,00004
WAD,Walter A. Durling,00217
WAH,Wendell A. Hollis,00176
WCP,William C. Peterson,00062
WFJ,William F. Jankun,00276
WI,Wayne Iskra,00003
WJM,William J. Martin,00096
WJN,"William J. Nickerson, Jr.",00078
WKH,"Wayne K. Houser, Jr.",00005
WKZ,William K. Zimmer,00071
WLA,William L. Abbott,00051
WLN,William L Nixon,00179
WPG,William P. Greene Jr.,00234
WPJ,William Joyce,00227
WS,William Strasser,00165
WVW,William Van Wyke,00156
WWS,W. Wayne Stogner,00133
ZZD,Zsa Zsa Depaolo,00043
VDA,David Ayala,00060
DBP,Dustin B. Pead,00302
JDV,James Alan DeVitto,00294
J8B,Javier E. Balasquide,00281
JJB,Jeffrey J. Bernstein,00303
KC,Kevin J. Chapman,00301
LRB,Lawrence O. Burman,00109
LSW,Linda Inez Spencer-Walters,00296
LRJ,Lourdes A. Rodriguez de Jongh,00299
PDM,Philip L. DiMarzio,00298
QVB,Quynh Vu Bain,00297
SMR,Stephen M. Ruhle,00295
SGR,Susan Girardo Roy,00300
TLF,Tammy L. Fitting,00304
BP1,Brett M. Parchert,00315
GUC,Crimilda  Guilloty,00316
DL,Daniel Lippman,00317
GDV,Gustavo D. Villageliu,00318
ICF,Irene C. Feldman,00319
JG,James Grim,00320
JRO,John R. O'malley,00321
JAS,John W. Salter,00322
MJC,Michael J. Creppy,00323
PV,Philip Verrillo,00324
PRM,Print Maggard,00325
RDM,Rene D. Mateo,00326
RAP,Richard A. Phelps,00327
RR1,Rodin Rooyani,00328
SK,Sabri Kandah,00329
SDL,Scott Laurent,00330
SBR,Sydney B. Rosenberg,00331
TLP,Thomas L. Pullen,00332
WFN,"William F. Nail, Jr.",00333
BP1,Brett M. Parchert,00315
GUC,Crimilda  Guilloty,00316
DL,Daniel Lippman,00317
VDA,David Ayala,00060
DBP,Dustin B. Pead,00302
GDV,Gustavo D. Villageliu,00318
ICF,Irene C. Feldman,00319
JDV,James Alan DeVitto,00294
JG,James Grim,00320
J8B,Javier E. Balasquide,00281
JJB,Jeffrey J. Bernstein,00303
JRO,John R. O'malley,00321
KC,Kevin J. Chapman,00301
LRB,Lawrence O. Burman,00109
LSW,Linda Inez Spencer-Walters,00296
LRJ,Lourdes A. Rodriguez de Jongh,00299
MJC,Michael J. Creppy,00323
PDM,Philip L. DiMarzio,00298
PV,Philip Verrillo,00324
PRM,Print Maggard,00325
QVB,Quynh Vu Bain,00297
RDM,Rene D. Mateo,00326
RAP,Richard A. Phelps,00327
RR1,Rodin Rooyani,00328
SDL,Scott Laurent,00330
SMR,Stephen M. Ruhle,00295
SGR,Susan Girardo Roy,00300
SBR,Sydney B. Rosenberg,00331
TLF,Tammy L. Fitting,00304
TLP,Thomas L. Pullen,00332
WFN,"William F. Nail, Jr.",00333
DM,Daniel A. Morris,00334
JLA,Jack L. Anderson,00335
MLE,Maria Lopez-Enriquez,00336
MMC,Mary M. Cheng,00337
PD1,Paula Davis,00338
TWJ,Thomas Janas,00339
MH7,Michael H. Bennett,00178
ABM,Alison M. Brown,00340
ABT,Alison M. Brown,00340
BJP,Barry J. Pettinato,00341
OMB,Brenda M. O'Malley,00342
DB,David H. Burke,00343
JCL,Jesus Clemente,00344
JBV,Joyce A. Bakke Varzandeh,00345
KAL,Keith J. Allred,00346
KWR,Kevin W. Riley,00347
LME,Lourdes Martinez-Esquivel,00348
MPB,Michael P. Baird,00349
MML,Monica M. Little,00350
RZA,Randa Zagzoug,00351
TNN,Tara Naselow-Nahas,00352
TSC,Theresa M. Scala,00353
ASL,Alice Segal,00354
AAK,Amiena Khan,00355
ACH,Amy C. Hoogasian,00356
AND,Andrea H. Sloan,00357
ADM,Anibal D. Martinez,00358
AVP,Aviva L. Poczter,00359
CMW,Clarence M. Wagner Jr.,00360
DTB,Dan Trimble,00361
DJS,Daniel J. Santander,00362
DHP,David H. Paruch,00363
WDN,David Neumeister,00364
DNM,Deepali Nadkarni,00365
EFK,Edward F. Kelly,00366
ERT,Eileen R. Trujillo,00367
JLP,F. James Loprest Jr.,00368
GRG,Guadalupe R. Gonzalez,00369
HKM,H. Kevin Mart,00370
JBS,Jerry A. Beatmann Sr.,00371
JBC,Jesse B. Christensen,00372
CJL,Joren Lyons,00373
KHU,Keith E. Hunsucker,00374
LOC,Lee A. O'Connor,00375
LAF,Leo A. Finston,00376
LLU,Lisa Luis,00377
MOS,Maureen S. O'Sullivan,00378
PLA,Peter L. Ashman,00379
PJC,Philip J. Costa,00380
RAR,Rachel A. Ruane,00381
RLH,Rebecca L. Holt,00382
RPL,Robert L. Powell,00383
SEG,Saul Greenstein,00384
SHA,Saundra H. Arrington,00385
SMN,Sheila McNulty,00386
SAR,Silvia R. Arellano,00387
SAM,Steven A. Morley,00388
SFD,Steven F. Day,00389
SJC,Steven J. Connelly,00390
SPL,Steven P. Logan,00391
SFK,Stuart F. Karden,00392
TGC,Thomas G. Crossan Jr.,00393
VSC,V. Stuart Couch,00394
VPG,Virginia Perez-Guzman,00395
VAW,Virna A. Wright,00396
BSC,Barry S. Chait,00397
REC,Robert E. Coughlon,00398
ARD,Arlene E. Dorfman,00399
MGM,Madeline Garcia,00400
RWK,R. Wayne Kimball,00401
RMS,Robert McSeveney,00402
CAS,Christopher A. Santoro,00403
